YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),2009 H1N1,A (Subtyping not Performed),B,PERCENT POSITIVE
2008,40,2759,3,0,0,0,8,6,0.616165277274375
2008,41,2874,5,0,4,0,8,6,0.800278357689631
2008,42,2937,13,0,3,0,15,6,1.25978890023834
2008,43,3434,22,0,0,0,24,15,1.77635410599884
2008,44,3545,13,0,3,0,21,6,1.212976022567
2008,45,4154,33,0,3,0,23,12,1.70919595570534
2008,46,4418,25,0,2,0,23,12,1.40334993209597
2008,47,4739,25,0,1,0,32,26,1.7725258493353
2008,48,4836,40,0,1,0,48,20,2.25392886683209
2008,49,5598,45,0,6,0,58,18,2.26866738120757
2008,50,5989,68,0,10,0,69,42,3.15578560694607
2008,51,6301,81,0,19,0,113,60,4.33264561180765
2008,52,6031,70,0,14,0,156,45,4.72558448018571
2008,53,6592,119,0,19,0,177,50,5.5370145631068
2009,1,6981,176,0,35,0,299,79,8.43718664947715
2009,2,6995,207,0,25,0,425,103,10.8649035025018
2009,3,7943,364,0,51,0,670,190,16.0518695706912
2009,4,9484,563,0,81,0,944,381,20.7612821594264
2009,5,11707,678,0,55,0,1382,687,23.9343982232852
2009,6,12691,835,0,68,0,1357,947,25.2698762902845
2009,7,11741,844,1,73,0,1064,931,24.8104931436845
2009,8,11912,707,0,58,0,1006,1152,24.538280725319
2009,9,10970,549,0,69,0,885,1168,24.3482224247949
2009,10,9595,388,0,70,0,627,1062,22.3762376237624
2009,11,8628,358,0,63,0,433,919,20.5493741307371
2009,12,7343,268,0,45,0,285,631,16.7370284624813
2009,13,5778,122,0,27,0,178,472,13.828314295604
2009,14,5095,102,1,35,0,129,276,10.657507360157
2009,15,4674,39,1,29,0,82,185,7.18870346598203
2009,16,4219,43,4,37,14,113,113,7.67954491585684
2009,17,36203,702,195,935,1354,526,800,12.4630555478828
2009,18,34659,518,117,893,2484,709,486,15.0235148157766
2009,19,16820,155,88,298,1741,626,134,18.0856123662307
2009,20,15410,79,71,322,2796,767,93,26.7878001297859
2009,21,13483,34,27,304,3144,964,42,33.4866127716384
2009,22,13553,30,17,441,3967,872,24,39.4820334981185
2009,23,13762,29,18,268,4203,1194,15,41.6145909024851
2009,24,14264,15,22,221,4587,1286,9,43.0454290521593
2009,25,12117,9,33,76,3267,993,6,36.1805727490303
2009,26,10913,13,23,41,2637,747,7,31.7786126637955
2009,27,10713,1,12,45,2753,614,7,32.0358443013162
2009,28,9808,3,24,29,2123,519,3,27.5387438825449
2009,29,8646,4,17,16,1901,403,3,27.1108026833218
2009,30,9184,4,24,11,1990,498,4,27.5587979094077
2009,31,8424,10,18,7,1471,486,2,23.670465337132
2009,32,8572,9,8,8,1462,441,5,22.5501633224452
2009,33,10003,9,11,18,1905,493,1,24.3626911926422
2009,34,11636,12,16,15,1792,713,15,22.0264695771743
