"Time","Ylvis: Downloads - BitTorrent"
2014/08/16 00:00:00,67
2014/08/15 00:00:00,96
2014/08/14 00:00:00,89
2014/08/13 00:00:00,96
2014/08/12 00:00:00,67
2014/08/11 00:00:00,72
2014/08/10 00:00:00,70
2014/08/09 00:00:00,87
2014/08/08 00:00:00,60
2014/08/07 00:00:00,79
2014/08/06 00:00:00,86
2014/08/05 00:00:00,80
2014/08/04 00:00:00,85
2014/08/03 00:00:00,79
2014/08/02 00:00:00,86
2014/08/01 00:00:00,99
2014/07/31 00:00:00,89
2014/07/30 00:00:00,84
2014/07/29 00:00:00,112
2014/07/28 00:00:00,101
2014/07/27 00:00:00,71
2014/07/26 00:00:00,88
2014/07/25 00:00:00,74
2014/07/24 00:00:00,78
2014/07/23 00:00:00,97
2014/07/22 00:00:00,67
2014/07/21 00:00:00,58
2014/07/20 00:00:00,72
2014/07/19 00:00:00,48
2014/07/18 00:00:00,63
2014/07/17 00:00:00,58
2014/07/16 00:00:00,57
2014/07/15 00:00:00,63
2014/07/14 00:00:00,62
2014/07/13 00:00:00,74
2014/07/12 00:00:00,80
2014/07/11 00:00:00,60
2014/07/10 00:00:00,67
2014/07/09 00:00:00,70
2014/07/08 00:00:00,69
2014/07/07 00:00:00,
2014/07/06 00:00:00,
2014/07/05 00:00:00,
2014/07/04 00:00:00,64
2014/07/03 00:00:00,73
2014/07/02 00:00:00,64
2014/07/01 00:00:00,55
2014/06/30 00:00:00,53
2014/06/29 00:00:00,91
2014/06/28 00:00:00,72
2014/06/27 00:00:00,69
2014/06/26 00:00:00,61
2014/06/25 00:00:00,71
2014/06/24 00:00:00,50
2014/06/23 00:00:00,64
2014/06/22 00:00:00,71
2014/06/21 00:00:00,69
2014/06/20 00:00:00,82
2014/06/19 00:00:00,83
2014/06/18 00:00:00,71
2014/06/17 00:00:00,66
2014/06/16 00:00:00,73
2014/06/15 00:00:00,63
2014/06/14 00:00:00,70
2014/06/13 00:00:00,83
2014/06/12 00:00:00,53
2014/06/11 00:00:00,38
2014/06/10 00:00:00,66
2014/06/09 00:00:00,78
2014/06/08 00:00:00,70
2014/06/07 00:00:00,77
2014/06/06 00:00:00,65
2014/06/05 00:00:00,82
2014/06/04 00:00:00,93
2014/06/03 00:00:00,70
2014/06/02 00:00:00,82
2014/06/01 00:00:00,109
2014/05/31 00:00:00,85
2014/05/30 00:00:00,59
2014/05/29 00:00:00,91
2014/05/28 00:00:00,72
2014/05/27 00:00:00,78
