"Time","Miley Cyrus: Downloads - BitTorrent"
2014/08/10 00:00:00,66803
2014/08/03 00:00:00,80220
2014/07/27 00:00:00,82168
2014/07/20 00:00:00,84621
2014/07/13 00:00:00,83416
2014/07/06 00:00:00,86618
2014/06/29 00:00:00,64392
2014/06/22 00:00:00,87305
2014/06/15 00:00:00,90121
2014/06/08 00:00:00,83244
2014/06/01 00:00:00,92952
2014/05/25 00:00:00,96333
2014/05/18 00:00:00,99282
2014/05/11 00:00:00,99350
2014/05/04 00:00:00,103903
2014/04/27 00:00:00,105684
2014/04/20 00:00:00,109914
2014/04/13 00:00:00,111830
2014/04/06 00:00:00,116621
2014/03/30 00:00:00,110072
2014/03/23 00:00:00,123125
2014/03/16 00:00:00,132197
2014/03/09 00:00:00,137871
2014/03/02 00:00:00,140431
2014/02/23 00:00:00,149635
2014/02/16 00:00:00,151393
2014/02/09 00:00:00,148213
2014/02/02 00:00:00,155020
2014/01/26 00:00:00,153328
2014/01/19 00:00:00,146442
2014/01/12 00:00:00,152068
2014/01/05 00:00:00,169978
2013/12/29 00:00:00,176656
2013/12/22 00:00:00,182329
2013/12/15 00:00:00,177470
2013/12/08 00:00:00,
2013/12/01 00:00:00,
2013/11/24 00:00:00,
2013/11/17 00:00:00,224429
2013/11/10 00:00:00,245551
2013/11/03 00:00:00,318116
2013/10/27 00:00:00,217529
2013/10/20 00:00:00,147555
2013/10/13 00:00:00,42752
2013/10/06 00:00:00,43676
2013/09/29 00:00:00,49175
2013/09/22 00:00:00,40750
2013/09/15 00:00:00,49960
2013/09/08 00:00:00,51900
2013/09/01 00:00:00,21299
2013/08/25 00:00:00,36831
2013/08/18 00:00:00,17441
2013/08/11 00:00:00,26077
2013/08/04 00:00:00,25645
2013/07/28 00:00:00,24339
2013/07/21 00:00:00,26139
2013/07/14 00:00:00,28868
2013/07/07 00:00:00,19609
2013/06/30 00:00:00,
2013/06/23 00:00:00,14727
2013/06/16 00:00:00,9565
2013/06/09 00:00:00,3561
2013/06/02 00:00:00,3594
2013/05/26 00:00:00,4760
2013/05/19 00:00:00,6827
2013/05/12 00:00:00,6625
2013/05/05 00:00:00,6598
2013/04/28 00:00:00,6633
2013/04/21 00:00:00,7406
2013/04/14 00:00:00,7546
2013/04/07 00:00:00,7916
2013/03/31 00:00:00,7020
2013/03/24 00:00:00,6181
2013/03/17 00:00:00,6853
2013/03/10 00:00:00,7381
2013/03/03 00:00:00,5063
2013/02/24 00:00:00,4353
2013/02/17 00:00:00,4499
2013/02/10 00:00:00,4999
2013/02/03 00:00:00,5338
2013/01/27 00:00:00,5861
2013/01/20 00:00:00,7351
2013/01/13 00:00:00,7902
2013/01/06 00:00:00,8259
2012/12/30 00:00:00,8746
2012/12/23 00:00:00,9823
2012/12/16 00:00:00,7592
2012/12/09 00:00:00,8808
2012/12/02 00:00:00,9026
2012/11/25 00:00:00,9470
2012/11/18 00:00:00,9223
2012/11/11 00:00:00,9842
2012/11/04 00:00:00,10658
2012/10/28 00:00:00,10566
2012/10/21 00:00:00,11386
2012/10/14 00:00:00,11632
2012/10/07 00:00:00,10765
2012/09/30 00:00:00,8310
2012/09/23 00:00:00,8278
2012/09/16 00:00:00,8507
2012/09/09 00:00:00,8858
2012/09/02 00:00:00,8404
2012/08/26 00:00:00,8987
2012/08/19 00:00:00,9981
2012/08/12 00:00:00,10131
2012/08/05 00:00:00,10719
2012/07/29 00:00:00,9081
2012/07/22 00:00:00,4852
2012/07/15 00:00:00,5297
2012/07/08 00:00:00,4880
2012/07/01 00:00:00,4762
2012/06/24 00:00:00,5264
2012/06/17 00:00:00,5382
2012/06/10 00:00:00,8252
2012/06/03 00:00:00,9768
2012/05/27 00:00:00,9279
2012/05/20 00:00:00,7438
2012/05/13 00:00:00,8865
2012/05/06 00:00:00,10468
2012/04/29 00:00:00,9681
2012/04/22 00:00:00,8587
2012/04/15 00:00:00,9505
2012/04/08 00:00:00,10603
2012/04/01 00:00:00,10918
2012/03/25 00:00:00,11901
2012/03/18 00:00:00,10939
2012/03/11 00:00:00,11755
2012/03/04 00:00:00,13072
2012/02/26 00:00:00,12536
2012/02/19 00:00:00,12275
2012/02/12 00:00:00,12786
2012/02/05 00:00:00,12483
2012/01/29 00:00:00,13663
2012/01/22 00:00:00,18080
2012/01/15 00:00:00,16341
2012/01/08 00:00:00,16898
2012/01/01 00:00:00,16024
2011/12/25 00:00:00,19260
2011/12/18 00:00:00,19133
2011/12/11 00:00:00,18838
2011/12/04 00:00:00,19774
