"Time","Robin Thicke: Downloads - BitTorrent"
2014/08/10 00:00:00,14641
2014/08/03 00:00:00,18123
2014/07/27 00:00:00,18994
2014/07/20 00:00:00,19642
2014/07/13 00:00:00,20290
2014/07/06 00:00:00,21539
2014/06/29 00:00:00,19674
2014/06/22 00:00:00,18733
2014/06/15 00:00:00,16688
2014/06/08 00:00:00,15774
2014/06/01 00:00:00,17415
2014/05/25 00:00:00,18083
2014/05/18 00:00:00,18419
2014/05/11 00:00:00,17522
2014/05/04 00:00:00,18169
2014/04/27 00:00:00,18645
2014/04/20 00:00:00,19039
2014/04/13 00:00:00,18667
2014/04/06 00:00:00,19614
2014/03/30 00:00:00,18261
2014/03/23 00:00:00,21101
2014/03/16 00:00:00,22386
2014/03/09 00:00:00,22099
2014/03/02 00:00:00,22881
2014/02/23 00:00:00,23308
2014/02/16 00:00:00,23509
2014/02/09 00:00:00,22970
2014/02/02 00:00:00,23319
2014/01/26 00:00:00,23196
2014/01/19 00:00:00,22217
2014/01/12 00:00:00,21560
2014/01/05 00:00:00,22361
2013/12/29 00:00:00,23020
2013/12/22 00:00:00,22028
2013/12/15 00:00:00,22189
2013/12/08 00:00:00,
2013/12/01 00:00:00,
2013/11/24 00:00:00,
2013/11/17 00:00:00,27684
2013/11/10 00:00:00,27803
2013/11/03 00:00:00,31693
2013/10/27 00:00:00,29687
2013/10/20 00:00:00,25280
2013/10/13 00:00:00,6360
2013/10/06 00:00:00,5101
2013/09/29 00:00:00,1656
2013/09/22 00:00:00,12533
2013/09/15 00:00:00,11465
2013/09/08 00:00:00,18157
2013/09/01 00:00:00,21210
2013/08/25 00:00:00,44930
2013/08/18 00:00:00,30800
2013/08/11 00:00:00,29104
2013/08/04 00:00:00,28602
2013/07/28 00:00:00,42599
2013/07/21 00:00:00,55561
2013/07/14 00:00:00,56515
2013/07/07 00:00:00,43811
2013/06/30 00:00:00,
2013/06/23 00:00:00,72505
2013/06/16 00:00:00,63353
2013/06/09 00:00:00,28964
2013/06/02 00:00:00,27074
2013/05/26 00:00:00,32331
2013/05/19 00:00:00,35824
2013/05/12 00:00:00,31688
2013/05/05 00:00:00,27052
2013/04/28 00:00:00,16568
2013/04/21 00:00:00,18608
2013/04/14 00:00:00,14001
2013/04/07 00:00:00,11609
2013/03/31 00:00:00,10083
2013/03/24 00:00:00,8807
2013/03/17 00:00:00,6476
2013/03/10 00:00:00,6019
2013/03/03 00:00:00,3672
2013/02/24 00:00:00,3109
2013/02/17 00:00:00,3240
2013/02/10 00:00:00,3109
