"Time","Gotye: Plays - YouTube"
2014/08/10 00:00:00,2643868
2014/08/03 00:00:00,2569791
2014/07/27 00:00:00,2521823
2014/07/20 00:00:00,2459737
2014/07/13 00:00:00,2674326
2014/07/06 00:00:00,2526483
2014/06/29 00:00:00,2585600
2014/06/22 00:00:00,2509902
2014/06/15 00:00:00,2531176
2014/06/08 00:00:00,2574511
2014/06/01 00:00:00,2748597
2014/05/25 00:00:00,2865204
2014/05/18 00:00:00,2805027
2014/05/11 00:00:00,2787558
2014/05/04 00:00:00,2253898
2014/04/27 00:00:00,2332065
2014/04/20 00:00:00,3813530
2014/04/13 00:00:00,2276354
2014/04/06 00:00:00,2104181
2014/03/30 00:00:00,2311429
2014/03/23 00:00:00,2262878
2014/03/16 00:00:00,2361625
2014/03/09 00:00:00,2372784
2014/03/02 00:00:00,2483833
2014/02/23 00:00:00,2591678
2014/02/16 00:00:00,2677520
2014/02/09 00:00:00,2552631
2014/02/02 00:00:00,2389611
2014/01/26 00:00:00,2521224
2014/01/19 00:00:00,2565597
2014/01/12 00:00:00,2837943
2014/01/05 00:00:00,2757414
2013/12/29 00:00:00,2691966
2013/12/22 00:00:00,2486130
2013/12/15 00:00:00,2273006
2013/12/08 00:00:00,2428792
2013/12/01 00:00:00,2818077
2013/11/24 00:00:00,2675659
2013/11/17 00:00:00,2773941
2013/11/10 00:00:00,2688426
2013/11/03 00:00:00,2773145
2013/10/27 00:00:00,2498067
2013/10/20 00:00:00,2563231
2013/10/13 00:00:00,2550870
2013/10/06 00:00:00,2498820
2013/09/29 00:00:00,2316522
2013/09/22 00:00:00,1688855
2013/09/15 00:00:00,1609233
2013/09/08 00:00:00,1812539
2013/09/01 00:00:00,1864425
2013/08/25 00:00:00,1797939
2013/08/18 00:00:00,1812075
2013/08/11 00:00:00,1793258
2013/08/04 00:00:00,1667562
2013/07/28 00:00:00,1703514
2013/07/21 00:00:00,1650815
2013/07/14 00:00:00,1657028
2013/07/07 00:00:00,1641323
2013/06/30 00:00:00,1707917
2013/06/23 00:00:00,2278113
2013/06/16 00:00:00,1939460
2013/06/09 00:00:00,1652693
2013/06/02 00:00:00,2246502
2013/05/26 00:00:00,2619106
2013/05/19 00:00:00,2669435
2013/05/12 00:00:00,2598502
2013/05/05 00:00:00,2547808
2013/04/28 00:00:00,2389885
2013/04/21 00:00:00,2236232
2013/04/14 00:00:00,2269231
2013/04/07 00:00:00,2440547
2013/03/31 00:00:00,2388182
2013/03/24 00:00:00,2163703
2013/03/17 00:00:00,2001278
2013/03/10 00:00:00,2769274
2013/03/03 00:00:00,
2013/02/24 00:00:00,7040732
2013/02/17 00:00:00,2304985
2013/02/10 00:00:00,3129301
2013/02/03 00:00:00,2425420
2013/01/27 00:00:00,2405927
2013/01/20 00:00:00,2376164
2013/01/13 00:00:00,2764564
2013/01/06 00:00:00,3008154
2012/12/30 00:00:00,2999159
2012/12/23 00:00:00,2812144
2012/12/16 00:00:00,2830555
2012/12/09 00:00:00,2820591
2012/12/02 00:00:00,2805386
2012/11/25 00:00:00,2779730
2012/11/18 00:00:00,2978351
2012/11/11 00:00:00,2980504
2012/11/04 00:00:00,3203762
2012/10/28 00:00:00,3265124
2012/10/21 00:00:00,597043
2012/10/14 00:00:00,3078957
2012/10/07 00:00:00,3583270
2012/09/30 00:00:00,3970880
2012/09/23 00:00:00,3971603
2012/09/16 00:00:00,4119132
2012/09/09 00:00:00,4816336
2012/09/02 00:00:00,4708324
2012/08/26 00:00:00,4838725
2012/08/19 00:00:00,5227064
2012/08/12 00:00:00,7847135
2012/08/05 00:00:00,5045984
2012/07/29 00:00:00,4962263
2012/07/22 00:00:00,5752894
2012/07/15 00:00:00,5248776
2012/07/08 00:00:00,6347905
2012/07/01 00:00:00,6917777
2012/06/24 00:00:00,7490673
2012/06/17 00:00:00,7941403
2012/06/10 00:00:00,8909556
2012/06/03 00:00:00,9853691
2012/05/27 00:00:00,10900474
2012/05/20 00:00:00,11283565
2012/05/13 00:00:00,11884080
2012/05/06 00:00:00,11642284
2012/04/29 00:00:00,12180907
2012/04/22 00:00:00,13474457
2012/04/15 00:00:00,15160517
2012/04/08 00:00:00,14343072
2012/04/01 00:00:00,12789729
2012/03/25 00:00:00,11384874
2012/03/18 00:00:00,11294069
2012/03/11 00:00:00,11254799
2012/03/04 00:00:00,10629295
2012/02/26 00:00:00,10978201
2012/02/19 00:00:00,11196174
2012/02/12 00:00:00,9733217
2012/02/05 00:00:00,9133889
2012/01/29 00:00:00,8220415
2012/01/22 00:00:00,7043256
2012/01/15 00:00:00,7063834
2012/01/08 00:00:00,8392295
2012/01/01 00:00:00,4377920
2011/12/25 00:00:00,3086165
2011/12/18 00:00:00,3086165
2011/12/11 00:00:00,3086165
2011/12/04 00:00:00,1919245
2011/11/27 00:00:00,1653426
2011/11/20 00:00:00,1429571
2011/11/13 00:00:00,1347602
2011/11/06 00:00:00,1292995
2011/10/30 00:00:00,1339012
2011/10/23 00:00:00,1293019
2011/10/16 00:00:00,1361866
2011/10/09 00:00:00,1333805
2011/10/02 00:00:00,1271400
2011/09/25 00:00:00,1228916
2011/09/18 00:00:00,1231652
2011/09/11 00:00:00,1225181
2011/09/04 00:00:00,1176627
2011/08/28 00:00:00,1102638
2011/08/21 00:00:00,1085736
