"Time","Lorde, Royals (US Version): Plays - VEVO"
2014/08/10 00:00:00,3932741
2014/08/03 00:00:00,4053067
2014/07/27 00:00:00,4191422
2014/07/20 00:00:00,4434237
2014/07/13 00:00:00,4544399
2014/07/06 00:00:00,5138481
2014/06/29 00:00:00,2979102
2014/06/22 00:00:00,4495759
2014/06/15 00:00:00,4663330
2014/06/08 00:00:00,4891838
2014/06/01 00:00:00,4022524
2014/05/25 00:00:00,3711948
2014/05/18 00:00:00,3873613
2014/05/11 00:00:00,3851843
2014/05/04 00:00:00,3666018
2014/04/27 00:00:00,4253381
2014/04/20 00:00:00,4832449
2014/04/13 00:00:00,4762896
2014/04/06 00:00:00,2355811
2014/03/30 00:00:00,5536469
2014/03/23 00:00:00,5490071
2014/03/16 00:00:00,6276629
2014/03/09 00:00:00,6459652
2014/03/02 00:00:00,7262774
2014/02/23 00:00:00,7376546
2014/02/16 00:00:00,8191559
2014/02/09 00:00:00,8533283
2014/02/02 00:00:00,9497243
2014/01/26 00:00:00,11562000
2014/01/19 00:00:00,8209838
2014/01/12 00:00:00,9287317
2014/01/05 00:00:00,10000915
2013/12/29 00:00:00,9260660
2013/12/22 00:00:00,9012668
2013/12/15 00:00:00,8634059
2013/12/08 00:00:00,7962806
2013/12/01 00:00:00,7316465
2013/11/24 00:00:00,9342147
2013/11/17 00:00:00,
2013/11/10 00:00:00,
2013/11/03 00:00:00,2491802
2013/10/27 00:00:00,3543428
2013/10/20 00:00:00,8280567
2013/10/13 00:00:00,8453309
2013/10/06 00:00:00,8863042
2013/09/29 00:00:00,6952027
2013/09/22 00:00:00,4348614
2013/09/15 00:00:00,3453357
2013/09/08 00:00:00,3122655
2013/09/01 00:00:00,2225211
2013/08/25 00:00:00,1379474
2013/08/18 00:00:00,1151384
2013/08/11 00:00:00,890936
2013/08/04 00:00:00,579289
2013/07/28 00:00:00,469833
2013/07/21 00:00:00,393705
2013/07/14 00:00:00,304513
