"Time","PSY: Downloads - BitTorrent"
2014/08/10 00:00:00,4234
2014/08/03 00:00:00,4723
2014/07/27 00:00:00,5089
2014/07/20 00:00:00,5004
2014/07/13 00:00:00,5028
2014/07/06 00:00:00,5038
2014/06/29 00:00:00,3979
2014/06/22 00:00:00,5497
2014/06/15 00:00:00,5955
2014/06/08 00:00:00,5199
2014/06/01 00:00:00,4929
2014/05/25 00:00:00,4938
2014/05/18 00:00:00,4631
2014/05/11 00:00:00,4598
2014/05/04 00:00:00,4909
2014/04/27 00:00:00,5041
2014/04/20 00:00:00,5216
2014/04/13 00:00:00,4998
2014/04/06 00:00:00,5007
2014/03/30 00:00:00,4832
2014/03/23 00:00:00,5386
2014/03/16 00:00:00,5793
2014/03/09 00:00:00,5932
2014/03/02 00:00:00,5628
2014/02/23 00:00:00,6203
2014/02/16 00:00:00,6005
2014/02/09 00:00:00,5985
2014/02/02 00:00:00,6370
2014/01/26 00:00:00,5852
2014/01/19 00:00:00,6491
2014/01/12 00:00:00,6407
2014/01/05 00:00:00,6720
2013/12/29 00:00:00,8062
2013/12/22 00:00:00,8308
2013/12/15 00:00:00,7391
2013/12/08 00:00:00,
2013/12/01 00:00:00,
2013/11/24 00:00:00,
2013/11/17 00:00:00,8118
2013/11/10 00:00:00,7548
2013/11/03 00:00:00,10476
2013/10/27 00:00:00,9984
2013/10/20 00:00:00,6934
2013/10/13 00:00:00,2490
2013/10/06 00:00:00,1793
2013/09/29 00:00:00,2423
2013/09/22 00:00:00,14489
2013/09/15 00:00:00,6571
2013/09/08 00:00:00,6028
2013/09/01 00:00:00,8251
2013/08/25 00:00:00,24993
2013/08/18 00:00:00,20024
2013/08/11 00:00:00,12890
2013/08/04 00:00:00,12188
2013/07/28 00:00:00,25429
2013/07/21 00:00:00,45823
2013/07/14 00:00:00,43771
2013/07/07 00:00:00,36004
2013/06/30 00:00:00,
2013/06/23 00:00:00,35077
2013/06/16 00:00:00,41965
2013/06/09 00:00:00,37772
2013/06/02 00:00:00,52040
2013/05/26 00:00:00,61716
2013/05/19 00:00:00,76924
2013/05/12 00:00:00,78650
2013/05/05 00:00:00,79614
2013/04/28 00:00:00,81052
2013/04/21 00:00:00,92624
2013/04/14 00:00:00,99096
2013/04/07 00:00:00,77003
2013/03/31 00:00:00,70727
2013/03/24 00:00:00,72063
2013/03/17 00:00:00,77970
2013/03/10 00:00:00,84924
2013/03/03 00:00:00,79912
2013/02/24 00:00:00,76090
2013/02/17 00:00:00,81482
2013/02/10 00:00:00,92107
2013/02/03 00:00:00,97308
2013/01/27 00:00:00,103373
2013/01/20 00:00:00,112603
2013/01/13 00:00:00,125624
2013/01/06 00:00:00,136456
2012/12/30 00:00:00,163444
2012/12/23 00:00:00,168977
2012/12/16 00:00:00,140532
2012/12/09 00:00:00,147637
2012/12/02 00:00:00,156290
2012/11/25 00:00:00,165390
2012/11/18 00:00:00,162840
2012/11/11 00:00:00,177684
2012/11/04 00:00:00,163784
2012/10/28 00:00:00,157046
2012/10/21 00:00:00,183692
2012/10/14 00:00:00,165088
2012/10/07 00:00:00,142663
2012/09/30 00:00:00,103307
2012/09/23 00:00:00,86301
2012/09/16 00:00:00,74668
2012/09/09 00:00:00,36762
2012/09/02 00:00:00,25906
2012/08/26 00:00:00,16371
2012/08/19 00:00:00,16377
2012/08/12 00:00:00,8630
2012/08/05 00:00:00,6140
2012/07/29 00:00:00,3101
2012/07/22 00:00:00,150
