"V1","V2"
"1",0,5348
"3",2,5188
"5",4,5613
"7",6,4590
"9",8,4542
"11",10,5827
"13",12,5313
"15",14,5122
"17",16,5865
"19",18,5839
"21",20,5289
"23",22,5786
"25",24,4794
"27",26,5777
"29",28,5571
"31",30,5250
"33",32,4789
"35",34,6116
"37",36,4033
"39",38,7671
"41",40,8107
"43",42,7824
"45",44,5855
"47",46,6759
"49",48,6233
"51",50,9374
"53",52,9110
"55",54,9878
"57",56,9372
"59",58,8710
"61",60,8247
"63",62,7812
"65",64,8689
"67",66,8603
"69",68,8800
"71",70,9451
"73",72,11953
"75",74,10477
"77",76,12129
"79",78,9332
"81",80,6905
"83",82,8112
"85",84,8121
"87",86,8124
"89",88,8488
"91",90,7880
"93",92,9074
"95",94,11646
"97",96,10792
"99",98,9102
"101",100,10215
"103",102,7324
"105",104,11132
"107",106,8631
"109",108,10876
"111",110,8145
"113",112,8644
"115",114,7728
"117",116,10198
"119",118,7523
"121",120,7403
"123",122,7178
"125",124,9189
"127",126,10434
"129",128,6780
"131",130,8595
"133",132,11021
"135",134,9650
"137",136,9274
"139",138,13582
"141",140,10720
"143",142,9067
"145",144,11973
"147",146,11780
"149",148,9655
"151",150,8432
"153",152,8801
"155",154,18130
"157",156,28201
"159",158,32340
"161",160,32942
"163",162,28193
"165",164,30235
"167",166,28918
"169",168,26514
"171",170,20487
"173",172,24328
"175",174,23262
"177",176,20607
"179",178,23379
"181",180,28947
"183",182,30037
"185",184,27781
"187",186,26654
"189",188,27529
"191",190,26697
"193",192,26816
"195",194,26783
"197",196,25849
"199",198,22003
"201",200,21875
"203",202,21158
"205",204,21048
"207",206,21504
"209",208,22341
"211",210,21307
"213",212,19167
"215",214,21372
"217",216,20174
"219",218,19980
"221",220,18972
"223",222,19919
"225",224,19618
"227",226,17978
"229",228,18972
"231",230,17413
"233",232,17444
"235",234,18624
"237",236,18309
"239",238,17448
"241",240,16678
"243",242,18215
"245",244,21876
"247",246,20068
"249",248,18180
"251",250,18162
"253",252,18056
"255",254,17237
"257",256,19159
"259",258,17964
"261",260,16592
"263",262,14080
"265",264,15766
"267",266,15984
"269",268,14666
"271",270,17005
"273",272,14715
"275",274,15592
"277",276,14218
"279",278,16656
"281",280,14921
"283",282,12521
"285",284,15603
"287",286,13946
"289",288,14128
"291",290,14427
"293",292,14927
"295",294,15478
"297",296,14730
"299",298,13825
"301",300,14092
"303",302,11836
"305",304,12523
"307",306,13677
"309",308,12695
"311",310,13259
"313",312,14039
"315",314,16281
"317",316,15796
"319",318,14744
"321",320,16286
"323",322,15398
"325",324,14923
"327",326,15402
"329",328,15346
"331",330,14689
"333",332,15306
"335",334,15394
"337",336,14989
"339",338,14987
"341",340,15274
"343",342,14527
"345",344,13712
"347",346,14077
"349",348,13118
"351",350,13391
"353",352,12379
"355",354,13950
"357",356,12228
"359",358,12104
"361",360,11151
"363",362,12801
"365",364,12030
"367",366,12321
"369",368,12672
"371",370,12397
"373",372,11303
"375",374,12085
"377",376,12299
"379",378,11217
"381",380,11574
"383",382,9359
"385",384,8769
"387",386,11666
"389",388,11188
"391",390,10493
"393",392,11583
"395",394,11054
"397",396,10776
"399",398,10723
"401",400,10813
"403",402,10771
"405",404,9650
"407",406,10222
"409",408,9899
"411",410,10406
"413",412,10126
"415",414,9378
"417",416,9449
"419",418,9481
"421",420,7508
"423",422,8257
"425",424,9737
"427",426,7768
"429",428,7815
"431",430,7962
"433",432,8112
"435",434,8100
"437",436,7245
"439",438,10625
"441",440,8215
"443",442,7902
"445",444,8044
"447",446,8076
"449",448,7459
"451",450,5668
"453",452,5447
"455",454,8504
"457",456,7774
"459",458,7488
"461",460,7542
"463",462,6600
"465",464,6582
"467",466,8408
"469",468,8044
"471",470,7830
"473",472,8296
"475",474,7877
"477",476,8006
"479",478,7755
"481",480,8019
"483",482,7391
"485",484,7415
"487",486,5936
"489",488,7410
"491",490,7191
"493",492,6576
"495",494,7062
"497",496,6837
"499",498,6760
"501",500,6519
"503",502,6412
"505",504,6228
"507",506,7010
"509",508,6863
"511",510,6399
"513",512,6270
"515",514,6419
"517",516,6205
"519",518,5986
"521",520,5110
"523",522,6380
"525",524,6390
"527",526,5370
"529",528,5670
"531",530,6087
"533",532,5884
"535",534,6237
"537",536,5305
"539",538,4993
"541",540,5201
"543",542,4802
"545",544,5962
"547",546,3088
"549",548,3099
"551",550,3372
"553",552,3264
"555",554,3275
"557",556,2989
"559",558,3084
