t,I
1,14
2,16
3,19
4,34
5,63
6,95
7,136
8,162
9,185
10,231
11,259
12,266
13,260
14,258
15,253
16,236
17,218
18,209
19,191
20,179
21,163
22,157
23,140
24,126
25,112
26,100
27,91
28,82
29,79
30,71
31,63
32,57
33,58
34,53
35,53
36,49
37,44
38,42
39,41
40,37
41,36
42,33
43,31
44,29
45,26
46,25
47,22
48,20
49,19
50,18
51,18
52,17
53,16
54,16
55,15
56,14
57,9
58,9
59,9
60,8
61,7
62,7
63,7
64,5
65,5
66,3
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
